Дата,Открытие,Закрытие,Макс,Мин
10/4/2018,115160,115210,115120,115210
10/4/2018,115210,115230,115170,115210
10/4/2018,115220,115220,115120,115180
10/4/2018,115160,115240,115160,115230
10/4/2018,115230,115270,115180,115180
10/4/2018,115180,115180,115130,115130
10/4/2018,115130,115200,115120,115160
10/4/2018,115160,115170,115130,115170
10/4/2018,115160,115170,115140,115150
10/4/2018,115160,115250,115130,115180
10/4/2018,115160,115160,115100,115130
10/4/2018,115130,115150,115070,115130
10/4/2018,115130,115140,115050,115100
10/4/2018,115090,115210,115060,115200
10/4/2018,115190,115300,115150,115290
10/4/2018,115290,115350,115270,115310
10/4/2018,115310,115360,115260,115350
10/4/2018,115360,115420,115330,115410
10/4/2018,115410,115420,115340,115370
10/4/2018,115370,115410,115350,115390
10/4/2018,115390,115420,115350,115420
10/4/2018,115410,115420,115310,115340
10/4/2018,115330,115370,115250,115280
10/4/2018,115290,115350,115290,115320
10/4/2018,115310,115350,115300,115350
10/4/2018,115350,115410,115340,115390
10/4/2018,115380,115400,115260,115270
10/4/2018,115260,115290,115200,115280
10/4/2018,115260,115310,115240,115300
10/4/2018,115310,115410,115300,115350
10/4/2018,115360,115380,115310,115340
10/4/2018,115350,115380,115300,115300
10/4/2018,115300,115390,115280,115370
10/4/2018,115370,115390,115320,115320
10/4/2018,115330,115370,115310,115360
10/4/2018,115360,115400,115340,115360
10/4/2018,115360,115400,115340,115370
10/4/2018,115370,115570,115360,115550
10/4/2018,115540,115560,115480,115520
